provinsi,gini_index,tahun
GORONTALO,0.392,2025
SULAWESI BARAT,0.316,2025
MALUKU,0.296,2025
MALUKU UTARA,0.299,2025
PAPUA BARAT,0.374,2025
PAPUA BARAT DAYA,0.363,2025
PAPUA,0.404,2025
PAPUA SELATAN,0.412,2025
PAPUA TENGAH,0.333,2025
PAPUA PEGUNUNGAN,0.349,2025
INDONESIA,0.375,2025
