provinsi,tingkat_pengangguran,tahun
SULAWESI UTARA,5.99,2025
SULAWESI TENGAH,2.92,2025
SULAWESI SELATAN,4.21,2025
SULAWESI TENGGARA,3.31,2025
GORONTALO,3.42,2025
SULAWESI BARAT,2.86,2025
MALUKU,6.27,2025
MALUKU UTARA,4.55,2025
PAPUA BARAT,4.55,2025
PAPUA BARAT DAYA,6.85,2025
PAPUA,6.96,2025
PAPUA SELATAN,4.04,2025
PAPUA TENGAH,3.62,2025
PAPUA PEGUNUNGAN,1.68,2025
INDONESIA,4.85,2025
